,features,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,4895,6247,6511,6653,6248,6110.8
1,ProductCD,358,322,408,432,398,383.6
2,card1,4954,6829,6452,6750,6523,6301.6
3,card2,4209,5507,5250,5259,5097,5064.4
4,card3,119,171,194,179,184,169.4
5,card4,167,153,158,117,171,153.2
6,card5,1206,1621,1551,1802,1594,1554.8
7,card6,191,210,197,187,194,195.8
8,addr1,4289,5674,5603,5772,5476,5362.8
9,addr2,38,56,20,76,40,46.0
10,dist1,1651,2186,1963,2110,1929,1967.8
11,P_emaildomain,2872,2895,2875,2848,2991,2896.2
12,R_emaildomain,817,745,827,1024,946,871.8
13,C1,1396,1553,1495,1552,1510,1501.2
14,C2,1303,1308,1294,1269,1338,1302.4
15,C4,160,182,168,172,192,174.8
16,C5,507,467,521,554,469,503.6
17,C6,963,1063,1038,1089,1023,1035.2
18,C7,90,92,90,100,76,89.6
19,C8,377,481,436,408,396,419.6
20,C9,855,798,810,840,858,832.2
21,C10,401,414,383,416,418,406.4
22,C11,1025,1135,1042,976,1068,1049.2
23,C12,456,441,443,438,403,436.2
24,C13,2272,2550,2492,2585,2545,2488.8
25,C14,1062,1201,1147,1066,1133,1121.8
26,D1,1663,1813,1868,1746,1902,1798.4
27,D2,2020,2334,2311,2435,2356,2291.2
28,D3,937,1271,1326,1367,1190,1218.2
29,D4,2541,3120,3096,3123,2959,2967.8
30,D5,723,1134,1080,1129,1009,1015.0
31,D6,473,474,572,516,544,515.8
32,D8,1476,2081,2097,2013,1999,1933.2
33,D9,524,780,803,781,800,737.6
34,D10,2284,2813,2899,3125,2991,2822.4
35,D11,1580,2064,2003,1662,1471,1756.0
36,D12,417,535,549,478,552,506.2
37,D13,558,677,575,503,613,585.2
38,D14,704,1049,1063,1015,906,947.4
39,D15,3322,3903,4051,4177,4091,3908.8
40,M1,13,26,18,13,17,17.4
41,M2,219,226,251,238,208,228.4
42,M3,363,414,363,415,411,393.2
43,M4,927,1201,1165,1156,1050,1099.8
44,M5,1092,1182,1172,1189,1276,1182.2
45,M6,960,1019,1056,1203,1088,1065.2
46,M7,287,307,369,286,312,312.2
47,M8,280,372,338,313,259,312.4
48,M9,306,373,341,286,264,314.0
49,V2,71,68,54,47,50,58.0
50,V3,61,61,78,72,49,64.2
51,V4,175,164,171,138,144,158.4
52,V5,164,273,211,228,155,206.2
53,V6,59,103,55,84,77,75.6
54,V7,60,64,85,81,79,73.8
55,V8,45,36,88,83,23,55.0
56,V9,19,30,24,16,26,23.0
57,V10,116,151,130,115,99,122.2
58,V11,84,126,85,76,105,95.2
59,V12,232,316,321,257,282,281.6
60,V13,255,244,307,310,303,283.8
61,V15,12,21,19,30,29,22.2
62,V16,12,12,19,13,24,16.0
63,V17,20,26,20,15,26,21.4
64,V18,23,41,8,17,17,21.2
65,V19,174,199,195,204,194,193.2
66,V20,268,341,334,327,287,311.4
67,V21,15,10,15,9,11,12.0
68,V22,3,7,15,11,7,8.6
69,V23,151,123,91,79,125,113.8
70,V24,125,184,203,195,163,174.0
71,V25,99,82,126,103,49,91.8
72,V26,31,69,63,65,71,59.8
73,V29,120,174,154,189,212,169.8
74,V30,95,137,153,163,115,132.6
75,V31,2,12,7,11,2,6.8
76,V32,29,44,28,4,19,24.8
77,V33,44,54,74,44,48,52.8
78,V34,40,89,73,40,91,66.6
79,V35,276,313,354,318,335,319.2
80,V36,287,264,266,352,275,288.8
81,V37,136,196,277,245,179,206.6
82,V38,332,371,320,359,447,365.8
83,V39,90,86,92,80,86,86.8
84,V40,79,92,107,116,117,102.2
85,V42,33,106,100,105,32,75.2
86,V43,109,72,121,80,108,98.0
87,V44,244,254,351,322,276,289.4
88,V45,369,447,458,445,523,448.4
89,V46,18,22,24,46,40,30.0
90,V47,87,136,117,122,143,121.0
91,V48,237,248,249,250,227,242.2
92,V49,150,157,152,156,142,151.4
93,V50,9,12,9,10,11,10.2
94,V51,40,67,83,79,51,64.0
95,V52,61,87,102,83,66,79.8
96,V53,288,338,353,377,385,348.2
97,V54,339,343,346,390,378,359.2
98,V55,187,204,252,220,227,218.0
99,V56,179,227,250,264,269,237.8
100,V57,18,42,23,31,44,31.6
101,V58,35,94,49,76,89,68.6
102,V59,52,95,65,54,28,58.8
103,V60,46,79,54,75,71,65.0
104,V61,266,278,310,330,354,307.6
105,V62,376,360,482,448,452,423.6
106,V63,23,63,67,36,48,47.4
107,V64,99,76,152,107,142,115.2
108,V66,81,135,89,99,98,100.4
109,V67,146,182,212,221,244,201.0
110,V69,145,180,164,157,153,159.8
111,V70,179,173,153,194,169,173.6
112,V71,2,8,19,15,16,12.0
113,V72,21,65,13,10,26,27.0
114,V73,34,48,36,48,49,43.0
115,V74,69,94,92,96,101,90.4
116,V75,304,372,365,390,357,357.6
117,V76,352,375,450,438,378,398.6
118,V77,169,211,245,245,237,221.4
119,V78,291,372,317,343,370,338.6
120,V79,61,54,61,61,65,60.4
121,V80,45,40,53,46,39,44.6
122,V81,159,169,186,148,174,167.2
123,V82,351,323,348,438,453,382.6
124,V83,373,425,388,442,445,414.6
125,V84,19,17,17,31,24,21.6
126,V85,97,127,105,84,72,97.0
127,V86,198,279,342,241,285,269.0
128,V87,422,514,523,521,435,483.0
129,V90,136,144,201,175,206,172.4
130,V91,116,139,124,160,183,144.4
131,V92,3,31,19,13,17,16.6
132,V93,13,19,18,23,30,20.6
133,V94,79,95,76,79,53,76.4
134,V95,31,22,39,16,23,26.2
135,V96,112,191,210,160,132,161.0
136,V97,30,44,52,47,48,44.2
137,V99,137,152,190,141,114,146.8
138,V100,13,40,33,13,24,24.6
139,V126,160,272,226,296,229,236.6
140,V127,311,484,503,522,438,451.6
141,V128,167,232,285,221,243,229.6
142,V130,376,495,525,571,436,480.6
143,V131,257,287,356,249,284,286.6
144,V139,139,224,192,186,176,183.4
145,V140,56,101,102,116,68,88.6
146,V143,57,135,176,140,94,120.4
147,V144,34,47,36,47,53,43.4
148,V145,81,103,107,124,62,95.4
149,V146,34,42,56,27,30,37.8
150,V147,37,82,57,75,54,61.0
151,V148,9,10,7,7,11,8.8
152,V149,97,162,152,154,199,152.8
153,V150,52,103,90,93,85,84.6
154,V151,16,23,41,36,39,31.0
155,V152,112,142,144,140,113,130.2
156,V153,3,7,9,10,21,10.0
157,V154,34,7,16,32,16,21.0
158,V155,5,4,13,16,12,10.0
159,V156,108,152,147,121,127,131.0
160,V157,30,5,13,21,13,16.4
161,V158,35,27,39,49,46,39.2
162,V159,41,67,79,106,92,77.0
163,V160,127,161,244,173,224,185.8
164,V161,11,16,30,41,53,30.2
165,V162,40,40,43,40,31,38.8
166,V163,6,24,17,18,21,17.2
167,V164,49,115,110,121,124,103.8
168,V165,207,294,240,351,343,287.0
169,V166,60,166,150,138,113,125.4
170,V167,25,31,32,29,25,28.4
171,V168,27,44,38,31,18,31.6
172,V169,94,104,143,105,118,112.8
173,V170,133,166,161,150,102,142.4
174,V171,61,127,108,92,94,96.4
