,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,80,88,78,86,90,84.4
1,ProductCD,8,16,20,16,18,15.6
2,card1,120,76,101,82,63,88.4
3,card2,104,73,113,122,108,104.0
4,card3,28,30,25,30,45,31.6
5,card4,5,5,4,14,18,9.2
6,card5,39,57,47,39,33,43.0
7,card6,29,27,29,27,37,29.8
8,addr1,75,85,86,72,76,78.8
9,addr2,7,1,3,4,7,4.4
10,dist1,22,16,17,29,30,22.8
11,dist2,14,13,9,11,10,11.4
12,P_emaildomain,39,50,49,62,44,48.8
13,R_emaildomain,25,28,34,33,31,30.2
14,C1,61,63,91,102,100,83.4
15,C2,26,27,24,22,29,25.6
16,C3,0,0,0,0,0,0.0
17,C4,17,25,16,14,12,16.8
18,C5,3,5,6,13,4,6.2
19,C6,17,19,19,19,18,18.4
20,C7,19,10,13,11,9,12.4
21,C8,24,24,14,20,22,20.8
22,C9,10,12,13,18,8,12.2
23,C10,14,14,13,8,15,12.8
24,C11,49,45,37,32,45,41.6
25,C12,30,21,20,18,29,23.6
26,C13,98,99,98,103,94,98.4
27,C14,18,39,52,64,54,45.4
28,D1,31,25,23,40,36,31.0
29,D2,45,51,45,48,58,49.4
30,D3,13,10,9,11,14,11.4
31,D4,36,28,27,29,24,28.8
32,D5,8,2,3,0,2,3.0
33,D6,14,3,4,5,4,6.0
34,D7,1,0,1,1,0,0.6
35,D8,35,30,36,29,28,31.6
36,D9,22,20,10,4,5,12.2
37,D10,23,27,39,32,20,28.2
38,D11,10,7,8,11,15,10.2
39,D12,18,17,13,16,12,15.2
40,D13,13,16,5,7,9,10.0
41,D14,18,16,12,10,13,13.8
42,D15,70,56,49,43,52,54.0
43,M1,0,0,0,0,0,0.0
44,M2,1,5,4,1,1,2.4
45,M3,7,8,5,4,6,6.0
46,M4,24,23,23,21,22,22.6
47,M5,19,17,5,13,18,14.4
48,M6,15,12,8,10,6,10.2
49,M7,0,1,1,1,0,0.6
50,M8,0,0,0,1,1,0.4
51,M9,0,1,0,1,0,0.4
52,V1,0,0,0,0,0,0.0
53,V2,0,0,0,0,0,0.0
54,V3,1,0,1,1,2,1.0
55,V4,2,0,2,0,0,0.8
56,V5,3,7,3,0,5,3.6
57,V6,6,0,0,0,1,1.4
58,V7,8,2,0,0,0,2.0
59,V8,1,0,0,0,4,1.0
60,V9,0,0,1,2,0,0.6
61,V10,0,0,0,0,1,0.2
62,V11,0,1,0,1,0,0.4
63,V12,2,7,14,7,10,8.0
64,V13,11,18,12,18,24,16.6
65,V14,0,0,0,0,0,0.0
66,V15,4,1,2,0,0,1.4
67,V16,1,3,5,2,2,2.6
68,V17,2,0,0,0,1,0.6
69,V18,0,0,0,1,0,0.2
70,V19,2,6,3,6,4,4.2
71,V20,6,11,6,8,10,8.2
72,V21,1,0,0,0,0,0.2
73,V22,2,0,1,0,0,0.6
74,V23,1,8,4,4,3,4.0
75,V24,8,8,7,2,1,5.2
76,V25,2,4,3,1,3,2.6
77,V26,0,4,6,5,3,3.6
78,V27,0,0,0,0,0,0.0
79,V28,0,0,0,0,0,0.0
80,V29,0,1,1,0,1,0.6
81,V30,1,0,0,1,1,0.6
82,V31,0,0,0,0,0,0.0
83,V32,0,0,1,0,0,0.2
84,V33,2,0,1,8,4,3.0
85,V34,0,0,2,2,4,1.6
86,V35,2,4,5,2,6,3.8
87,V36,3,4,4,6,8,5.0
88,V37,17,10,9,3,5,8.8
89,V38,9,19,15,25,26,18.8
90,V39,3,1,2,1,3,2.0
91,V40,8,0,2,3,2,3.0
92,V41,0,0,0,0,0,0.0
93,V42,3,0,0,1,0,0.8
94,V43,2,2,1,3,2,2.0
95,V44,16,14,9,7,10,11.2
96,V45,43,41,37,39,34,38.8
97,V46,0,4,2,0,0,1.2
98,V47,6,3,2,4,3,3.6
99,V48,0,2,0,0,0,0.4
100,V49,0,1,0,6,2,1.8
101,V50,0,0,0,0,0,0.0
102,V51,0,1,3,0,3,1.4
103,V52,3,7,3,4,4,4.2
104,V53,25,19,17,19,20,20.0
105,V54,6,13,15,16,10,12.0
106,V55,7,8,11,11,8,9.0
107,V56,12,9,12,10,4,9.4
108,V57,6,3,2,1,1,2.6
109,V58,5,4,2,3,3,3.4
110,V59,1,1,0,1,1,0.8
111,V60,0,4,0,3,2,1.8
112,V61,1,11,14,8,9,8.6
113,V62,8,32,24,26,28,23.6
114,V63,5,1,1,0,4,2.2
115,V64,0,9,10,11,7,7.4
116,V65,0,0,0,0,0,0.0
117,V66,2,6,6,5,3,4.4
118,V67,18,17,14,12,13,14.8
119,V68,0,0,0,0,0,0.0
120,V69,1,2,2,1,2,1.6
121,V70,0,0,1,1,2,0.8
122,V71,1,0,0,1,1,0.6
123,V72,0,0,1,2,2,1.0
124,V73,0,0,0,4,2,1.2
125,V74,3,2,0,3,10,3.6
126,V75,8,3,2,7,11,6.2
127,V76,15,16,15,5,6,11.4
128,V77,7,6,16,15,8,10.4
129,V78,25,18,11,14,11,15.8
130,V79,4,7,15,5,5,7.2
131,V80,0,0,2,4,3,1.8
132,V81,2,3,1,1,6,2.6
133,V82,8,7,16,18,10,11.8
134,V83,5,6,13,18,16,11.6
135,V84,1,1,1,1,0,0.8
136,V85,1,0,2,1,2,1.2
137,V86,11,13,9,3,4,8.0
138,V87,27,24,22,22,19,22.8
139,V88,0,0,0,0,0,0.0
140,V89,0,0,0,0,0,0.0
141,V90,0,2,3,1,0,1.2
142,V91,0,0,1,2,2,1.0
143,V92,0,2,1,2,2,1.4
144,V93,0,0,0,2,0,0.4
145,V94,0,0,4,4,9,3.4
146,V95,1,3,0,0,0,0.8
147,V96,1,1,1,1,9,2.6
148,V97,1,1,1,2,1,1.2
149,V98,0,0,1,0,0,0.2
150,V99,2,3,6,5,7,4.6
151,V100,1,1,3,0,1,1.2
152,V101,1,0,1,1,0,0.6
153,V102,3,5,3,7,8,5.2
154,V103,0,0,0,0,1,0.2
155,V104,0,0,0,0,0,0.0
156,V105,0,0,0,0,0,0.0
157,V106,0,0,0,0,0,0.0
158,V107,0,0,0,0,0,0.0
159,V108,2,0,4,1,2,1.8
160,V109,1,0,0,3,1,1.0
161,V110,1,0,0,0,1,0.4
162,V111,8,1,1,0,2,2.4
163,V112,1,1,0,2,1,1.0
164,V113,0,0,0,0,0,0.0
165,V114,1,0,0,0,0,0.2
166,V115,0,0,2,2,5,1.8
167,V116,0,1,0,0,0,0.2
168,V117,0,0,0,0,0,0.0
169,V118,0,0,0,0,0,0.0
170,V119,0,1,0,0,0,0.2
171,V120,1,0,0,0,0,0.2
172,V121,0,0,0,0,1,0.2
173,V122,0,0,0,0,0,0.0
174,V123,2,4,2,2,1,2.2
175,V124,1,1,1,5,3,2.2
176,V125,0,0,0,1,1,0.4
177,V126,3,2,0,1,2,1.6
178,V127,4,5,2,1,3,3.0
179,V128,6,2,1,1,2,2.4
180,V129,6,7,3,1,1,3.6
181,V130,7,9,5,8,5,6.8
182,V131,7,12,4,4,5,6.4
183,V132,2,3,0,0,0,1.0
184,V133,20,12,14,15,12,14.6
185,V134,4,3,2,1,0,2.0
186,V135,1,1,0,0,0,0.4
187,V136,0,2,4,2,3,2.2
188,V137,3,1,0,0,1,1.0
189,V138,0,0,0,0,0,0.0
190,V139,4,5,7,9,4,5.8
191,V140,3,5,5,5,7,5.0
192,V141,0,4,2,1,1,1.6
193,V142,1,2,0,3,1,1.4
194,V143,8,10,7,4,5,6.8
195,V144,0,1,0,0,0,0.2
196,V145,4,0,2,1,1,1.6
197,V146,0,0,1,0,1,0.4
198,V147,6,4,4,1,2,3.4
199,V148,1,0,3,1,0,1.0
200,V149,17,11,7,8,10,10.6
201,V150,3,3,3,3,1,2.6
202,V151,1,4,2,0,1,1.6
203,V152,7,11,14,14,12,11.6
204,V153,0,0,0,0,0,0.0
205,V154,1,1,4,3,4,2.6
206,V155,4,1,2,1,2,2.0
207,V156,15,21,19,16,12,16.6
208,V157,1,0,1,2,0,0.8
209,V158,1,4,3,2,4,2.8
210,V159,1,1,2,2,0,1.2
211,V160,2,0,4,0,2,1.6
212,V161,2,5,7,3,1,3.6
213,V162,4,0,5,3,9,4.2
214,V163,5,2,2,7,2,3.6
215,V164,1,5,8,2,1,3.4
216,V165,5,7,9,12,12,9.0
217,V166,2,1,0,3,3,1.8
218,V167,2,0,0,2,2,1.2
219,V168,0,0,0,0,0,0.0
220,V169,4,5,2,6,9,5.2
221,V170,2,5,3,4,5,3.8
222,V171,3,4,7,4,7,5.0
223,V172,7,0,0,1,3,2.2
224,V173,2,3,1,0,1,1.4
225,V174,2,2,3,1,0,1.6
226,V175,3,0,1,1,0,1.0
227,V176,0,2,0,0,0,0.4
228,V177,0,0,0,0,0,0.0
229,V178,0,4,5,2,3,2.8
230,V179,0,0,0,0,0,0.0
231,V180,1,0,6,3,2,2.4
232,V181,0,0,1,4,2,1.4
233,V182,0,0,0,0,1,0.2
234,V183,3,2,0,1,0,1.2
235,V184,0,5,1,1,2,1.8
236,V185,3,1,0,1,2,1.4
237,V186,2,0,0,0,1,0.6
238,V187,2,1,6,2,10,4.2
239,V188,3,3,1,1,0,1.6
240,V189,14,17,20,18,17,17.2
241,V190,0,2,0,0,0,0.4
242,V191,0,0,0,1,0,0.2
243,V192,0,0,0,1,0,0.2
